Numeration, question, answer A, answer B, answer C,
1, At a party do you ,Interact with many including strangers, Interact with a few known to you,Neutral, 
2, Are you more ,Realistic than speculative ,Speculative than realistic, Neutral,
3, Is it worse to ,Have your "head in the clouds" ,Be "in a rut" ,Neutral,
4, Are you more impressed by ,Principles ,Emotions ,Neutral,
5, Are you more drawn toward the ,Convincing ,Touching , Neutral,
6, Do you prefer to work ,To deadlines ,Just "whenever" ,Neutral,
7, Do you tend to choose ,Rather carefully ,Somewhat impulsively ,Neutral,
8, At parties do you ,Stay late with increasing energy ,Leave early with decreased energy ,Neutral,
9, Are you more attracted to ,Sensible people ,Imaginative people ,Neutral,
10, Are you more interested in ,What is actual ,What is possible ,Neutral,
11, In judging others are you more swayed by ,Laws than circumstances ,Circumstances than laws ,Neutral,
12, In approaching others is your inclination somewhat ,Objective ,Personal ,Neutral,
13, Are you more ,Punctual ,Leisurely ,Neutral,
14, Does it bother you more having things ,Incomplete ,Completed ,Neutral,
15, In your social groups do you ,Keep abreast of other's happenings ,Get behind on the news ,Neutral,
16, In doing ordinary things are you more likely to ,Do it the usual way ,Do it your own way ,Neutral,
17, Writers should ,"Say what they mean and mean what they say" ,Express things more by use of analogy ,Neutral,
18, Which appeals to you more ,Consistency of thought ,Harmonious human relationships ,Neutral,
19, Are you more comfortable in making ,Logical judgments ,Value judgments ,Neutral,
20, Do you want things ,Settled and decided ,Unsettled and undecided ,Neutral,
21, Would you say you are more ,Serious and determined ,Easy-going ,Neutral,
22, In phoning do you ,Rarely question that it will all be said ,Rehearse what you'll say ,Neutral,
23, Facts ,"Speak for themselves" ,Illustrate principles ,Neutral,
24, Are visionaries ,somewhat annoying ,rather fascinating ,Neutral,
25, Are you more often ,a cool-headed person ,a warm-hearted person ,Neutral,
26, Is it worse to be ,unjust ,merciless ,Neutral,
27, Should one usually let events occur ,by careful selection and choice ,randomly and by chance ,Neutral,
28, Do you feel better about ,having purchased ,having the option to buy ,Neutral,
29, In company do you ,initiate conversation ,wait to be approached ,Neutral,
30, Common sense is ,rarely questionable ,frequently questionable ,Neutral,
31, Children often do not ,make themselves useful enough ,exercise their fantasy enough ,Neutral,
32, In making decisions do you feel more comfortable with ,standards ,feelings ,Neutral,
33, Are you more ,firm than gentle ,gentle than firm ,Neutral,
34, Which is more admirable ,the ability to organize and be methodical ,the ability to adapt and make do ,Neutral,
35, Do you put more value on ,finite ,open-minded ,Neutral,
36, Does new and non-routine interaction with others ,stimulate and energize you ,tax your reserves ,Neutral,
37, Are you more frequently ,a practical sort of person ,a fanciful sort of person ,Neutral,
38, Are you more likely to ,see how others are useful ,see how others see ,Neutral,
39, Which is more satisfying ,to discuss an issue thoroughly ,to arrive at an agreement on an issue ,Neutral,
40, Which rules you more ,your head ,your heart ,Neutral,
41, Are you more comfortable with work that is ,contracted ,done on a casual basis ,Neutral,
42, Do you tend to look for ,the orderly ,whatever turns up ,Neutral,
43, Do you prefer ,many friends with brief contact ,a few friends with more lengthy contact ,Neutral,
44, Do you go more by ,facts ,principles ,Neutral,
45, Are you more interested in ,production and distribution ,design and research ,Neutral,
46, Which is more of a compliment ,"There is a very logical person" ,"There is a very sentimental person" ,Neutral,
47, Do you value in yourself more that you are ,unwavering ,devoted ,Neutral,
48, Do you more often prefer the ,final and unalterable statement ,tentative and preliminary statement ,Neutral,
49, Are you more comfortable ,after a decision ,before a decision ,Neutral,
50, Do you ,speak easily and at length with strangers ,find little to say to strangers ,Neutral,
51, Are you more likely to trust your ,experience ,hunch ,Neutral,
52, Do you feel ,more practical than ingenious ,more ingenious than practical ,Neutral,
53, Which person is more to be complimented" one of ,clear reason ,strong feeling ,Neutral,
54, Are you inclined more to be ,fair-minded ,sympathetic ,Neutral,
55, Is it preferable mostly to ,make sure things are arranged ,just let things happen ,Neutral,
56, In relationships should most things be ,re-negotiable ,random and circumstantial ,Neutral,
57, When the phone rings do you ,hasten to get to it first ,hope someone else will answer ,Neutral,
58, Do you prize more in yourself ,a strong sense of reality ,a vivid imagination ,Neutral,
59, Are you drawn more to ,fundamentals ,overtones ,Neutral,
60, Which seems the greater error ,to be too passionate ,to be too objective ,Neutral,
61, Do you see yourself as basically ,hard-headed ,soft-hearted ,Neutral,
62, Which situation appeals to you more ,the structured and scheduled ,the unstructured and unscheduled ,Neutral,
63, Are you a person that is more ,routinized than whimsical ,whimsical than routinized ,Neutral,
64, Are you more inclined to be ,easy to approach ,somewhat reserved ,Neutral,
65, In writings do you prefer ,the more literal ,the more figurative ,Neutral,
66, Is it harder for you to ,identify with others ,utilize others ,Neutral,
67, Which do you wish more for yourself ,clarity of reason ,strength of compassion ,Neutral,
68, Which is the greater fault ,being indiscriminate ,being critical ,Neutral,
69, Do you prefer the ,planned event ,unplanned event ,Neutral,
70, Do you tend to be more ,deliberate than spontaneous ,spontaneous than deliberate ,Neutral,
